hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,hotel_location,payment_method
Resort,0,203,2025,December,49,2,2,5,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,F,4,No Deposit,0,Transient,3974.0,0,0,Sreemangal,Mobile Banking
City Hotel,1,82,2025,July,29,16,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5316.0,0,0,Dhaka,Mobile Banking
City Hotel,0,25,2025,December,53,27,0,3,3,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,2,No Deposit,0,Transient-Party,3774.0,0,1,Sylhet,Cash
City Hotel,0,1,2025,March,11,9,0,1,1,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,5382.0,0,0,Chattogram,Card
City Hotel,0,70,2025,April,16,16,2,2,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6792.0,0,0,Dhaka,Mobile Banking
City Hotel,0,170,2025,April,17,27,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,5441.0,0,0,Khulna,Bank Transfer
City Hotel,1,21,2025,March,10,4,0,1,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,4811.0,0,0,Sylhet,Bank Transfer
City Hotel,0,102,2025,October,42,16,0,2,2,0.0,0,HB,CAN,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,6196.0,0,0,Sylhet,Bank Transfer
Resort,0,55,2025,November,47,19,2,5,2,0.0,0,HB,BGD,Online TA,TA/TO,0,0,0,D,1,No Deposit,0,Transient,4971.0,0,0,Coxs_Bazar,Card
Resort,0,222,2025,September,38,14,1,1,2,0.0,0,HB,BGD,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5436.0,0,0,Coxs_Bazar,Mobile Banking
Resort,0,120,2025,December,53,26,1,3,2,0.0,0,BB,SAU,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient-Party,5081.0,1,3,Coxs_Bazar,Mobile Banking
City Hotel,1,88,2024,February,7,17,0,2,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,3445.0,0,0,Rajshahi,Mobile Banking
Resort,0,79,2025,December,52,24,2,5,2,0.0,0,HB,USA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,2897.0,0,2,Kuakata,Card
City Hotel,0,41,2025,August,34,15,1,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4259.0,0,0,Sylhet,Mobile Banking
City Hotel,1,239,2025,October,42,17,0,1,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient,4721.0,0,0,Dhaka,Card
Resort,0,23,2025,April,16,20,0,2,2,0.0,0,BB,BGD,Groups,Direct,0,0,0,A,0,No Deposit,0,Transient-Party,7028.0,1,0,Coxs_Bazar,Card
Resort,0,34,2025,December,50,9,0,1,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,3402.0,0,1,Sylhet,Cash
City Hotel,1,38,2024,May,19,6,2,3,2,1.0,0,HB,CAN,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,9298.0,0,0,Dhaka,Mobile Banking
City Hotel,0,160,2025,July,28,15,2,5,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4650.0,0,1,Sylhet,Cash
Resort,0,32,2024,October,44,27,2,5,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,F,0,No Deposit,0,Transient,5059.0,1,0,Sylhet,Card
Resort,0,56,2025,March,14,29,0,4,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,3146.0,1,1,Kuakata,Card
City Hotel,1,97,2024,October,41,5,1,3,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,8945.0,0,0,Dhaka,Bank Transfer
Resort,0,85,2024,April,16,19,1,4,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,E,2,No Deposit,0,Transient-Party,4032.0,0,1,Bandarban,Mobile Banking
City Hotel,0,278,2025,July,30,26,0,4,3,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,5536.0,0,2,Rajshahi,Bank Transfer
City Hotel,1,175,2025,August,33,10,0,4,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6425.0,0,0,Sylhet,Cash
City Hotel,1,26,2024,May,21,22,1,1,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,7492.0,0,0,Dhaka,Bank Transfer
City Hotel,1,360,2025,October,42,12,1,1,2,0.0,0,BB,USA,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Contract,4956.0,0,0,Dhaka,Mobile Banking
Resort,1,378,2024,November,45,1,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,4758.0,0,0,Coxs_Bazar,Mobile Banking
City Hotel,0,32,2024,January,5,24,2,1,2,0.0,0,BB,BGD,Corporate,Corporate,0,0,0,A,1,No Deposit,15,Transient-Party,4970.0,0,0,Dhaka,Mobile Banking
Resort,0,165,2024,December,53,30,0,4,1,0.0,0,Undefined,BGD,Groups,TA/TO,0,0,0,A,0,No Deposit,122,Transient-Party,2425.0,0,0,Kuakata,Cash
City Hotel,0,4,2024,August,35,25,0,4,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,4093.0,0,0,Chattogram,Mobile Banking
City Hotel,1,179,2025,July,27,1,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,3582.0,0,0,Khulna,Mobile Banking
City Hotel,0,349,2025,October,41,4,1,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,162,Transient-Party,7059.0,0,0,Dhaka,Bank Transfer
City Hotel,0,47,2025,February,8,18,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,5766.0,0,0,Dhaka,Card
City Hotel,0,237,2025,September,38,14,1,2,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,5450.0,0,0,Dhaka,Mobile Banking
City Hotel,0,31,2024,September,40,27,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6956.0,0,0,Dhaka,Cash
City Hotel,0,158,2025,July,27,1,1,2,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,9211.0,0,1,Dhaka,Mobile Banking
City Hotel,0,25,2025,December,51,13,0,4,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5580.0,0,1,Dhaka,Card
City Hotel,0,386,2025,October,44,23,2,0,2,0.0,0,HB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,7192.0,0,1,Dhaka,Mobile Banking
Resort,0,10,2025,September,38,13,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5135.0,0,0,Kuakata,Card
City Hotel,0,76,2024,March,13,20,2,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,1,No Deposit,0,Transient,7608.0,0,1,Dhaka,Mobile Banking
City Hotel,0,42,2024,April,16,21,1,2,2,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,7964.0,0,2,Sylhet,Cash
Resort,1,210,2024,August,35,22,3,8,2,0.0,0,HB,,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,7242.0,0,2,Kuakata,Mobile Banking
City Hotel,0,4,2025,June,27,26,2,0,1,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6913.0,0,1,Dhaka,Mobile Banking
City Hotel,0,33,2024,May,23,29,2,1,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5440.0,0,0,Sylhet,Bank Transfer
City Hotel,0,7,2025,December,51,17,1,1,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4277.0,0,1,Sylhet,Cash
City Hotel,0,21,2025,December,51,17,0,2,1,0.0,0,BB,BGD,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient-Party,5546.0,0,0,Dhaka,Card
City Hotel,1,160,2024,December,53,30,0,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,111,Transient-Party,4665.0,0,0,Dhaka,Bank Transfer
Resort,0,28,2025,May,21,19,2,5,3,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4313.0,0,2,Kuakata,Mobile Banking
City Hotel,1,274,2024,July,29,18,2,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,0,No Deposit,0,Transient-Party,4660.0,0,0,Dhaka,Card
City Hotel,1,155,2025,July,29,17,1,1,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5704.0,0,1,Dhaka,Bank Transfer
Resort,1,48,2024,September,40,30,2,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,6004.0,0,0,Coxs_Bazar,Card
Resort,0,25,2025,January,3,14,0,2,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,G,0,No Deposit,0,Transient,4763.0,0,1,Sreemangal,Mobile Banking
Resort,0,154,2024,July,29,11,1,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,3208.0,0,0,Kuakata,Cash
