@relation bd_hotel_bookings_ml-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute hotel {Resort,'City Hotel'}
@attribute is_canceled {0,1}
@attribute lead_time numeric
@attribute arrival_date_year numeric
@attribute arrival_date_month {December,July,March,April,October,November,September,February,August,May,January,June}
@attribute arrival_date_week_number numeric
@attribute arrival_date_day_of_month numeric
@attribute stays_in_weekend_nights numeric
@attribute stays_in_week_nights numeric
@attribute adults numeric
@attribute children numeric
@attribute babies numeric
@attribute meal {BB,SC,HB,Undefined,FB}
@attribute country {BGD,AUS,CAN,SAU,USA,GBR,IND,ARE,SGP,MYS}
@attribute market_segment {Direct,'Online TA','Offline TA/TO',Groups,Corporate,Aviation,Complementary}
@attribute distribution_channel {Direct,TA/TO,Corporate,GDS}
@attribute is_repeated_guest numeric
@attribute previous_cancellations numeric
@attribute previous_bookings_not_canceled numeric
@attribute reserved_room_type {F,A,D,E,G,B,H,C,P}
@attribute booking_changes numeric
@attribute deposit_type {'No Deposit','Non Refund',Refundable}
@attribute days_in_waiting_list numeric
@attribute customer_type {Transient,Transient-Party,Contract,Group}
@attribute adr numeric
@attribute required_car_parking_spaces numeric
@attribute total_of_special_requests numeric
@attribute hotel_location {Sreemangal,Dhaka,Sylhet,Chattogram,Khulna,Coxs_Bazar,Rajshahi,Kuakata,Bandarban}
@attribute payment_method {'Mobile Banking',Cash,Card,'Bank Transfer'}

@data
Resort,0,0.322734,1,December,0.923077,0.033333,0.166667,0.166667,0.018519,0,0,BB,BGD,Direct,Direct,0,0,0,F,0.285714,'No Deposit',0,Transient,0.130712,0,0,Sreemangal,'Mobile Banking'
'City Hotel',1,0.130366,1,July,0.538462,0.5,0,0.1,0.018519,0,0,BB,BGD,'Online TA',TA/TO,0,0,0,A,0,'No Deposit',0,Transient,0.2114,0,0,Dhaka,'Mobile Banking'
'City Hotel',0,0.039746,1,December,1,0.866667,0,0.1,0.037037,0,0,BB,BGD,'Offline TA/TO',TA/TO,0,0,0,A,0.142857,'No Deposit',0,Transient-Party,0.118687,0,0.2,Sylhet,Cash
'City Hotel',0,0.00159,1,March,0.192308,0.266667,0,0.033333,0,0,0,BB,AUS,'Online TA',TA/TO,0,0,0,A,0,'No Deposit',0,Transient-Party,0.215368,0,0,Chattogram,Card
'City Hotel',0,0.111288,1,April,0.288462,0.5,0.166667,0.066667,0.018519,0,0,SC,BGD,'Online TA',TA/TO,0,0,0,A,0,'No Deposit',0,Transient,0.300144,0,0,Dhaka,'Mobile Banking'
'City Hotel',0,0.27027,1,April,0.307692,0.866667,0,0.1,0.018519,0,0,BB,BGD,'Online TA',TA/TO,0,0,0,D,0,'No Deposit',0,Transient,0.218915,0,0,Khulna,'Bank Transfer'
'City Hotel',1,0.033386,1,March,0.173077,0.1,0,0.033333,0,0,0,BB,BGD,'Online TA',TA/TO,0,0,0,A,0,'No Deposit',0,Transient-Party,0.181037,0,0,Sylhet,'Bank Transfer'
'City Hotel',0,0.162162,1,October,0.788462,0.5,0,0.066667,0.018519,0,0,HB,CAN,'Offline TA/TO',TA/TO,0,0,0,A,0,'No Deposit',0,Transient-Party,0.26431,0,0,Sylhet,'Bank Transfer'
Resort,0,0.08744,1,November,0.884615,0.6,0.166667,0.166667,0.018519,0,0,HB,BGD,'Online TA',TA/TO,0,0,0,D,0.071429,'No Deposit',0,Transient,0.190657,0,0,Coxs_Bazar,Card
Resort,0,0.352941,1,September,0.711538,0.433333,0.083333,0.033333,0.018519,0,0,HB,BGD,Groups,TA/TO,0,0,0,A,0,'No Deposit',0,Transient,0.218615,0,0,Coxs_Bazar,'Mobile Banking'
Resort,0,0.190779,1,December,1,0.833333,0.083333,0.1,0.018519,0,0,BB,SAU,'Online TA',TA/TO,0,0,0,D,0,'No Deposit',0,Transient-Party,0.19727,0.333333,0.6,Coxs_Bazar,'Mobile Banking'
'City Hotel',1,0.139905,0,February,0.115385,0.533333,0,0.066667,0.018519,0,0,SC,BGD,'Online TA',TA/TO,0,0,0,A,0,'No Deposit',0,Transient,0.098906,0,0,Rajshahi,'Mobile Banking'
Resort,0,0.125596,1,December,0.980769,0.766667,0.166667,0.166667,0.018519,0,0,HB,USA,'Offline TA/TO',TA/TO,0,0,0,A,0,'No Deposit',0,Transient,0.065957,0,0.4,Kuakata,Card
'City Hotel',0,0.065183,1,August,0.634615,0.466667,0.083333,0.066667,0.018519,0,0,BB,BGD,'Offline TA/TO',TA/TO,0,0,0,A,0,'No Deposit',0,Transient,0.147848,0,0,Sylhet,'Mobile Banking'
'City Hotel',1,0.379968,1,October,0.788462,0.533333,0,0.033333,0.018519,0,0,BB,BGD,Groups,TA/TO,0,0.038462,0,A,0,'Non Refund',0,Transient,0.175625,0,0,Dhaka,Card
