booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,hotel_location,payment_method
BDH_00001,Resort,0,203,2025,December,49,2,2,5,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,F,F,4,No Deposit,250.0,,0,Transient,3974.0,0,0,Check-Out,2016-12-09,Sreemangal,Mobile Banking
BDH_00002,City Hotel,1,82,2025,July,29,16,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,5316.0,0,0,Canceled,2015-07-16,Dhaka,Mobile Banking
BDH_00003,City Hotel,0,25,2025,December,53,27,0,3,3,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,K,2,No Deposit,220.0,,0,Transient-Party,3774.0,0,1,Check-Out,2016-12-30,Sylhet,Cash
BDH_00004,City Hotel,0,1,2025,March,11,9,0,1,1,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,5382.0,0,0,Check-Out,2016-03-10,Chattogram,Card
BDH_00005,City Hotel,0,70,2025,April,16,16,2,2,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,6792.0,0,0,Check-Out,2017-04-20,Dhaka,Mobile Banking
BDH_00006,City Hotel,0,170,2025,April,17,27,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,5441.0,0,0,Check-Out,2017-04-30,Khulna,Bank Transfer
BDH_00007,City Hotel,1,21,2025,March,10,4,0,1,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,4811.0,0,0,Canceled,2016-02-26,Sylhet,Bank Transfer
BDH_00008,City Hotel,0,102,2025,October,42,16,0,2,2,0.0,0,HB,CAN,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,6196.0,0,0,Check-Out,2015-10-18,Sylhet,Bank Transfer
BDH_00009,Resort,0,55,2025,November,47,19,2,5,2,0.0,0,HB,BGD,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,314.0,,0,Transient,4971.0,0,0,Check-Out,2016-11-26,Coxs_Bazar,Card
BDH_00010,Resort,0,222,2025,September,38,14,1,1,2,0.0,0,HB,BGD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68.0,,0,Transient,5436.0,0,0,Check-Out,2015-09-16,Coxs_Bazar,Mobile Banking
BDH_00011,Resort,0,120,2025,December,53,26,1,3,2,0.0,0,BB,SAU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,5081.0,1,3,Check-Out,2016-12-30,Coxs_Bazar,Mobile Banking
BDH_00012,City Hotel,1,88,2024,February,7,17,0,2,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,3445.0,0,0,Canceled,2016-11-25,Rajshahi,Mobile Banking
BDH_00013,Resort,0,79,2025,December,52,24,2,5,2,0.0,0,HB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Transient,2897.0,0,2,Check-Out,2015-12-31,Kuakata,Card
BDH_00014,City Hotel,0,41,2025,August,34,15,1,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,4259.0,0,0,Check-Out,2016-08-18,Sylhet,Mobile Banking
BDH_00015,City Hotel,1,239,2025,October,42,17,0,1,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,4721.0,0,0,Canceled,2015-08-17,Dhaka,Card
BDH_00016,Resort,0,23,2025,April,16,20,0,2,2,0.0,0,BB,BGD,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,7028.0,1,0,Check-Out,2017-04-22,Coxs_Bazar,Card
BDH_00017,Resort,0,34,2025,December,50,9,0,1,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,3402.0,0,1,Check-Out,2016-12-10,Sylhet,Cash
BDH_00018,City Hotel,1,38,2024,May,19,6,2,3,2,1.0,0,HB,CAN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,9298.0,0,0,Canceled,2016-05-01,Dhaka,Mobile Banking
BDH_00019,City Hotel,0,160,2025,July,28,15,2,5,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,4650.0,0,1,Check-Out,2017-07-22,Sylhet,Cash
BDH_00020,Resort,0,32,2024,October,44,27,2,5,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,5059.0,1,0,Check-Out,2016-11-03,Sylhet,Card
BDH_00021,Resort,0,56,2025,March,14,29,0,4,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,3146.0,1,1,Check-Out,2016-04-02,Kuakata,Card
BDH_00022,City Hotel,1,97,2024,October,41,5,1,3,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,8945.0,0,0,Canceled,2015-07-03,Dhaka,Bank Transfer
BDH_00023,Resort,0,85,2024,April,16,19,1,4,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,E,E,2,No Deposit,,,0,Transient-Party,4032.0,0,1,Check-Out,2017-04-24,Bandarban,Mobile Banking
BDH_00024,City Hotel,0,278,2025,July,30,26,0,4,3,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,5536.0,0,2,Check-Out,2017-07-30,Rajshahi,Bank Transfer
BDH_00025,City Hotel,1,175,2025,August,33,10,0,4,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,6425.0,0,0,Canceled,2016-03-01,Sylhet,Cash
BDH_00026,City Hotel,1,26,2024,May,21,22,1,1,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,7492.0,0,0,Canceled,2017-04-26,Dhaka,Bank Transfer
BDH_00027,City Hotel,1,360,2025,October,42,12,1,1,2,0.0,0,BB,USA,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,4956.0,0,0,Canceled,2015-01-01,Dhaka,Mobile Banking
BDH_00028,Resort,1,378,2024,November,45,1,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.0,,0,Transient,4758.0,0,0,Canceled,2016-10-18,Coxs_Bazar,Mobile Banking
BDH_00029,City Hotel,0,32,2024,January,5,24,2,1,2,0.0,0,BB,BGD,Corporate,Corporate,0,0,0,A,A,1,No Deposit,38.0,,15,Transient-Party,4970.0,0,0,Check-Out,2016-01-27,Dhaka,Mobile Banking
BDH_00030,Resort,0,165,2024,December,53,30,0,4,1,0.0,0,Undefined,BGD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308.0,,122,Transient-Party,2425.0,0,0,Check-Out,2016-01-03,Kuakata,Cash
BDH_00031,City Hotel,0,4,2024,August,35,25,0,4,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,4093.0,0,0,Check-Out,2015-08-29,Chattogram,Mobile Banking
BDH_00032,City Hotel,1,179,2025,July,27,1,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,3582.0,0,0,Canceled,2016-05-10,Khulna,Mobile Banking
BDH_00033,City Hotel,0,349,2025,October,41,4,1,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,58.0,,162,Transient-Party,7059.0,0,0,Check-Out,2016-10-10,Dhaka,Bank Transfer
BDH_00034,City Hotel,0,47,2025,February,8,18,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,5766.0,0,0,Check-Out,2016-02-21,Dhaka,Card
BDH_00035,City Hotel,0,237,2025,September,38,14,1,2,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,5450.0,0,0,Check-Out,2015-09-17,Dhaka,Mobile Banking
BDH_00036,City Hotel,0,31,2024,September,40,27,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,6956.0,0,0,Check-Out,2016-09-28,Dhaka,Cash
BDH_00037,City Hotel,0,158,2025,July,27,1,1,2,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,9211.0,0,1,Check-Out,2016-07-04,Dhaka,Mobile Banking
BDH_00038,City Hotel,0,25,2025,December,51,13,0,4,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,5580.0,0,1,Check-Out,2016-12-17,Dhaka,Card
BDH_00039,City Hotel,0,386,2025,October,44,23,2,0,2,0.0,0,HB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,7192.0,0,1,Check-Out,2016-10-25,Dhaka,Mobile Banking
BDH_00040,Resort,0,10,2025,September,38,13,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,5135.0,0,0,Check-Out,2016-09-15,Kuakata,Card
BDH_00041,City Hotel,0,76,2024,March,13,20,2,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,7608.0,0,1,Check-Out,2016-03-25,Dhaka,Mobile Banking
BDH_00042,City Hotel,0,42,2024,April,16,21,1,2,2,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,7964.0,0,2,Check-Out,2017-04-24,Sylhet,Cash
BDH_00043,Resort,1,210,2024,August,35,22,3,8,2,0.0,0,HB,,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,7242.0,0,2,Canceled,2016-02-15,Kuakata,Mobile Banking
BDH_00044,City Hotel,0,4,2025,June,27,26,2,0,1,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,6913.0,0,1,Check-Out,2016-06-28,Dhaka,Mobile Banking
BDH_00045,City Hotel,0,33,2024,May,23,29,2,1,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,5440.0,0,0,Check-Out,2016-06-01,Sylhet,Bank Transfer
BDH_00046,City Hotel,0,7,2025,December,51,17,1,1,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,4277.0,0,1,Check-Out,2016-12-19,Sylhet,Cash
BDH_00047,City Hotel,0,21,2025,December,51,17,0,2,1,0.0,0,BB,BGD,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient-Party,5546.0,0,0,Check-Out,2015-12-19,Dhaka,Card
